form,tags
dosées,
dosés,"['masculine', 'plural']"
dosés,
dotal,
dotale,"['feminine', 'singular']"
dotales,"['feminine', 'plural']"
dotaux,"['masculine', 'plural']"
dotriacontanoïque,
dotriacontanoïques,['plural']
dotriacontanoïques,
douanier,
douaniers,"['masculine', 'plural']"
douaniers,
douanière,
douanière,"['feminine', 'singular']"
douanières,
douanières,"['feminine', 'plural']"
doubien,
doubienne,"['feminine', 'singular']"
doubienne,
doubiennes,
doubiennes,"['feminine', 'plural']"
doubiens,"['masculine', 'plural']"
doubiens,
double,
doubles,['plural']
doubles,
douce,
douce,"['feminine', 'singular']"
douce comme un agneau,
douce comme un agneau,"['feminine', 'singular']"
douce-amère,"['feminine', 'singular']"
douce-amère,
doucereuse,
doucereuse,"['feminine', 'singular']"
doucereuses,
doucereuses,"['feminine', 'plural']"
doucereux,"['masculine', 'plural']"
douces,
douces,"['feminine', 'plural']"
douces comme des agneaux,
douces comme des agneaux,"['feminine', 'plural']"
douces-amères,
douces-amères,"['feminine', 'plural']"
doucet,
doucets,"['masculine', 'plural']"
doucets,
doucette,
doucette,"['feminine', 'singular']"
doucettes,
doucettes,"['feminine', 'plural']"
douceâtre,
douceâtres,['plural']
douceâtres,
douillet,
douillets,"['masculine', 'plural']"
douillets,
douillette,"['feminine', 'singular']"
douillette,
douillettes,"['feminine', 'plural']"
douloureuse,
douloureuse,"['feminine', 'singular']"
douloureuses,
douloureuses,"['feminine', 'plural']"
douloureux,"['masculine', 'plural']"
douteuse,"['feminine', 'singular']"
douteuse,
douteuses,
douteuses,"['feminine', 'plural']"
douteux,"['masculine', 'plural']"
doux,"['masculine', 'plural']"
doux comme des agneaux,"['masculine', 'plural']"
doux comme des agneaux,
doux comme un agneau,
doux-amer,
doux-amers,
doux-amers,"['masculine', 'plural']"
douzième,
douzièmes,['plural']
douzièmes,
douçâtre,
douçâtres,
douçâtres,['plural']
doué,
douée,"['feminine', 'singular']"
douée,
douées,
douées,"['feminine', 'plural']"
doués,
doués,"['masculine', 'plural']"
doxastique,
doxastiques,['plural']
doxastiques,
draconien,
draconienne,
draconienne,"['feminine', 'singular']"
draconiennes,
draconiennes,"['feminine', 'plural']"
draconiens,
draconiens,"['masculine', 'plural']"
drageonnant,
drageonnante,"['feminine', 'singular']"
drageonnantes,"['feminine', 'plural']"
drageonnants,"['masculine', 'plural']"
drageonnants,
dragéifié,
dragéifiée,"['feminine', 'singular']"
dragéifiée,
dragéifiées,"['feminine', 'plural']"
dragéifiées,
dragéifiés,"['masculine', 'plural']"
dragéifiés,
drainant,
drainante,
drainante,"['feminine', 'singular']"
drainantes,
drainantes,"['feminine', 'plural']"
drainants,
drainants,"['masculine', 'plural']"
dramatique,
dramatiques,
dramatiques,['plural']
dramaturgique,
dramaturgiques,['plural']
dramaturgiques,
drapier,
drapiers,"['masculine', 'plural']"
drapiers,
drapière,
drapière,"['feminine', 'singular']"
drapières,
drapières,"['feminine', 'plural']"
drastique,
drastiques,
drastiques,['plural']
dravidien,
dravidienne,"['feminine', 'singular']"
dravidienne,
dravidiennes,
dravidiennes,"['feminine', 'plural']"
dravidiens,
dravidiens,"['masculine', 'plural']"
dressable,
dressables,['plural']
dressables,
drette,
drettes,['plural']
dreyfusard,
dreyfusarde,"['feminine', 'singular']"
dreyfusarde,
dreyfusardes,"['feminine', 'plural']"
dreyfusardes,
dreyfusards,"['masculine', 'plural']"
dreyfusards,
droit,
droit comme un cierge,
droit comme un i,
droite,
droite,"['feminine', 'singular']"
droite comme un cierge,"['feminine', 'singular']"
droite comme un i,"['feminine', 'singular']"
droites,"['feminine', 'plural']"
droites comme des cierges,"['feminine', 'plural']"
droites comme un i,"['feminine', 'plural']"
droitier,
droitiers,
droitiers,"['masculine', 'plural']"
droitiste,
droitistes,
droitistes,['plural']
droitière,
droitière,"['feminine', 'singular']"
droitières,"['feminine', 'plural']"
droitières,
droits,"['masculine', 'plural']"
droits,
droits comme des cierges,"['masculine', 'plural']"
droits comme un i,"['masculine', 'plural']"
droits-de-l'hommiste,
drolatique,
drolatiques,['plural']
drolatiques,
drolle,
drolles,['plural']
drolles,
dromadaire,
dromadaires,
dromadaires,['plural']
dru,
drue,"['feminine', 'singular']"
drue,
drues,"['feminine', 'plural']"
drues,
druidique,
druidiques,
druidiques,['plural']
drupacé,
drupacée,
drupacée,"['feminine', 'singular']"
drupacées,"['feminine', 'plural']"
drupacées,
drupacés,"['masculine', 'plural']"
drupacés,
drus,
drus,"['masculine', 'plural']"
druze,
druzes,['plural']
druzes,
drôlatique,
drôlatiques,['plural']
drôlatiques,
drôle,
drôle de,
drôles,
drôles,['plural']
drôles de,['plural']
drôlissime,
drôlissimes,['plural']
drôlissimes,
drômois,"['masculine', 'plural']"
drômoise,"['feminine', 'singular']"
drômoise,
drômoises,
drômoises,"['feminine', 'plural']"
du coin,
du diable,
du dimanche,
du feu de Dieu,
du même acabit,
du même tonneau,
du plus bel effet,
du siècle,
du tonnerre,
dual,
duale,"['feminine', 'singular']"
duales,"['feminine', 'plural']"
dualiste,
dualistes,
dualistes,['plural']
dualistique,
dualistiques,
dualistiques,['plural']
duaux,"['masculine', 'plural']"
dubieuse,"['feminine', 'singular']"
dubieuses,"['feminine', 'plural']"
dubieux,"['masculine', 'plural']"
dubitatif,
dubitatifs,
dubitatifs,"['masculine', 'plural']"
dubitative,"['feminine', 'singular']"
dubitative,
dubitatives,"['feminine', 'plural']"
dubitatives,
ducal,
ducale,
ducale,"['feminine', 'singular']"
ducales,
ducales,"['feminine', 'plural']"
ducaux,
ducaux,"['masculine', 'plural']"
ductile,
ductiles,
ductiles,['plural']
duel,
duelle,"['feminine', 'singular']"
duelle,
duelles,"['feminine', 'plural']"
duelles,
duels,"['masculine', 'plural']"
dukasien,
dukasienne,"['feminine', 'singular']"
dukasiennes,"['feminine', 'plural']"
dukasiens,"['masculine', 'plural']"
dumasien,
dumasienne,"['feminine', 'singular']"
dumasienne,
dumasiennes,"['feminine', 'plural']"
dumasiennes,
dumasiens,
dumasiens,"['masculine', 'plural']"
dunaire,
dunaires,
dunaires,['plural']
dunkerquois,"['masculine', 'plural']"
dunkerquoise,
dunkerquoise,"['feminine', 'singular']"
dunkerquoises,
dunkerquoises,"['feminine', 'plural']"
duodécimal,
duodécimale,
duodécimale,"['feminine', 'singular']"
duodécimales,
duodécimales,"['feminine', 'plural']"
duodécimaux,"['masculine', 'plural']"
duodécimaux,
duodénaire,
duodénaires,['plural']
duodénal,
duodénale,"['feminine', 'singular']"
duodénale,
duodénales,"['feminine', 'plural']"
duodénales,
duodénaux,"['masculine', 'plural']"
duodénaux,
dur,
dur d'oreille,
dur de la feuille,
dur en affaires,
dur à cuire,
durable,
durables,['plural']
durables,
dural,
durale,
durale,"['feminine', 'singular']"
durales,
durassien,
durassienne,
durassienne,"['feminine', 'singular']"
durassiennes,
durassiennes,"['feminine', 'plural']"
durassiens,
durassiens,"['masculine', 'plural']"
duratif,
duratifs,
duratifs,"['masculine', 'plural']"
durative,
durative,"['feminine', 'singular']"
duratives,
duratives,"['feminine', 'plural']"
duraux,
durcisseur,
durcisseurs,
durcisseurs,"['masculine', 'plural']"
durcisseuse,"['feminine', 'singular']"
durcisseuse,
durcisseuses,
durcisseuses,"['feminine', 'plural']"
dure,
dure,"['feminine', 'singular']"
dure d'oreille,"['feminine', 'singular']"
dure de la feuille,"['feminine', 'singular']"
dure de la feuille,
dure en affaires,"['feminine', 'singular']"
dure à cuire,"['feminine', 'singular']"
dure à cuire,
dures,"['feminine', 'plural']"
dures d'oreille,"['feminine', 'plural']"
dures de la feuille,
dures de la feuille,"['feminine', 'plural']"
dures en affaires,"['feminine', 'plural']"
dures à cuire,
dures à cuire,"['feminine', 'plural']"
durissime,
durissimes,
durissimes,['plural']
durs,
durs,"['masculine', 'plural']"
durs d'oreille,"['masculine', 'plural']"
durs de la feuille,
durs de la feuille,"['masculine', 'plural']"
durs en affaires,"['masculine', 'plural']"
durs à cuire,"['masculine', 'plural']"
durs à cuire,
duveteuse,"['feminine', 'singular']"
duveteuse,
duveteuses,"['feminine', 'plural']"
duveteuses,
duveteux,"['masculine', 'plural']"
dyadique,
dyadiques,
dyadiques,['plural']
dynamique,
dynamiques,['plural']
dynamiques,
dynamogène,
dynamogènes,['plural']
dynamogénique,
dynamogéniques,['plural']
dynamomagnétique,
dynamomagnétiques,
dynamomagnétiques,['plural']
dynamométrique,
dynamométriques,['plural']
dynamométriques,
dynamoélectrique,
dynamoélectriques,
dynamoélectriques,['plural']
dynastique,
dynastiques,
dynastiques,['plural']
dyonisiaque,
dyonisiaques,['plural']
dyonisiaques,
dyscrasique,
dyscrasiques,['plural']
dysfonctionnel,
dysfonctionnelle,
dysfonctionnelle,"['feminine', 'singular']"
dysfonctionnelles,"['feminine', 'plural']"
dysfonctionnelles,
dysfonctionnels,"['masculine', 'plural']"
dysfonctionnels,
dyslexique,
dyslexiques,['plural']
dyslexiques,
dyspepsique,
dyspepsiques,['plural']
dyspeptique,
dyspeptiques,['plural']
dysphonique,
dysphoniques,['plural']
dysphorique,
dysphoriques,
dysphoriques,['plural']
dysthymique,
dysthymiques,['plural']
dysthymiques,
dystonique,
dystoniques,['plural']
dystoniques,
dystopique,
dystopiques,
dystopiques,['plural']
dysérythropoïétique,
dysérythropoïétiques,
dysérythropoïétiques,['plural']
dæmoniaque,
dæmoniaques,['plural']
débarrassé,
débarrassée,
débarrassée,"['feminine', 'singular']"
débarrassées,"['feminine', 'plural']"
débarrassées,
débarrassés,
débarrassés,"['masculine', 'plural']"
débattable,
débattables,
débattables,['plural']
débile,
débiles,['plural']
débiles,
débilitant,
débilitante,"['feminine', 'singular']"
débilitante,
débilitantes,"['feminine', 'plural']"
débilitantes,
débilitants,"['masculine', 'plural']"
débilitants,
débonnaire,
débonnaires,
débonnaires,['plural']
débordant,
débordante,"['feminine', 'singular']"
débordante,
débordantes,
débordantes,"['feminine', 'plural']"
débordants,
débordants,"['masculine', 'plural']"
débordé,
débordée,"['feminine', 'singular']"
débordées,"['feminine', 'plural']"
débordés,"['masculine', 'plural']"
déboussolé,
déboussolée,
déboussolée,"['feminine', 'singular']"
déboussolées,"['feminine', 'plural']"
déboussolées,
déboussolés,
déboussolés,"['masculine', 'plural']"
débraillé,
débraillée,"['feminine', 'singular']"
débraillées,"['feminine', 'plural']"
débraillés,"['masculine', 'plural']"
débrayable,
débrayables,
débrayables,['plural']
débridé,
débridée,"['feminine', 'singular']"
débridées,"['feminine', 'plural']"
débridés,"['masculine', 'plural']"
débrouillard,
débrouillarde,"['feminine', 'singular']"
débrouillarde,
débrouillardes,
débrouillardes,"['feminine', 'plural']"
débrouillards,"['masculine', 'plural']"
débrouillards,
débutant,
débutante,"['feminine', 'singular']"
débutantes,"['feminine', 'plural']"
débutants,"['masculine', 'plural']"
décadaire,
décadaires,['plural']
décadaires,
décadent,
décadente,"['feminine', 'singular']"
décadente,
décadentes,"['feminine', 'plural']"
décadentes,
décadents,
décadents,"['masculine', 'plural']"
décaféiné,
décaféinée,"['feminine', 'singular']"
décaféinées,"['feminine', 'plural']"
décaféinés,"['masculine', 'plural']"
décagonal,
décagonale,
décagonale,"['feminine', 'singular']"
décagonales,
décagonales,"['feminine', 'plural']"
décagonaux,
décagonaux,"['masculine', 'plural']"
décalé,
décalée,"['feminine', 'singular']"
décalées,"['feminine', 'plural']"
décalés,"['masculine', 'plural']"
décamétrique,
décamétriques,['plural']
décamétriques,
décanoïque,
décanoïques,['plural']
décanoïques,
décapant,
décapante,
décapante,"['feminine', 'singular']"
décapantes,
décapantes,"['feminine', 'plural']"
décapants,"['masculine', 'plural']"
décapode,
décapodes,['plural']
décapotable,
décapotables,['plural']
décarbonaté,
décarbonatée,"['feminine', 'singular']"
décarbonatées,"['feminine', 'plural']"
décarbonatés,"['masculine', 'plural']"
décarboxylé,
décarboxylée,"['feminine', 'singular']"
décarboxylées,"['feminine', 'plural']"
décarboxylés,"['masculine', 'plural']"
décasyllabe,
décasyllabes,['plural']
décasyllabique,
décasyllabiques,['plural']
décati,
décatie,
décatie,"['feminine', 'singular']"
décaties,"['feminine', 'plural']"
décaties,
décatis,
décatis,"['masculine', 'plural']"
décavé,
décavée,"['feminine', 'singular']"
décavée,
décavées,"['feminine', 'plural']"
décavées,
décavés,
décavés,"['masculine', 'plural']"
décelable,
décelables,
décelables,['plural']
décelé,
décelée,
décelée,"['feminine', 'singular']"
décelées,"['feminine', 'plural']"
décelées,
décelés,
décelés,"['masculine', 'plural']"
décennal,
décennale,"['feminine', 'singular']"
décennale,
décennales,"['feminine', 'plural']"
décennales,
décennaux,
décennaux,"['masculine', 'plural']"
décent,
décente,
décente,"['feminine', 'singular']"
décentes,"['feminine', 'plural']"
décentes,
décentralisateur,
décentralisateurs,
décentralisateurs,"['masculine', 'plural']"
décentralisatrice,
décentralisatrice,"['feminine', 'singular']"
décentralisatrices,
décentralisatrices,"['feminine', 'plural']"
décents,
décents,"['masculine', 'plural']"
déceptif,
déceptifs,"['masculine', 'plural']"
déceptifs,
déceptive,
déceptive,"['feminine', 'singular']"
déceptives,
déceptives,"['feminine', 'plural']"
décevant,
décevante,"['feminine', 'singular']"
décevante,
décevantes,"['feminine', 'plural']"
décevantes,
décevants,"['masculine', 'plural']"
décevants,
déchargeable,
déchargeables,['plural']
déchargeables,
déchargé,
déchargée,
déchargée,"['feminine', 'singular']"
déchargées,"['feminine', 'plural']"
déchargées,
déchargés,
déchargés,"['masculine', 'plural']"
décharné,
décharnée,"['feminine', 'singular']"
décharnées,"['feminine', 'plural']"
décharnés,"['masculine', 'plural']"
déchaux,
déchiffrable,
déchiffrables,['plural']
déchiffrables,
déchirant,
déchirante,"['feminine', 'singular']"
déchirante,
déchirantes,"['feminine', 'plural']"
déchirantes,
déchirants,"['masculine', 'plural']"
déchirants,
déchu,
déchue,"['feminine', 'singular']"
déchue,
déchues,"['feminine', 'plural']"
déchues,
déchus,"['masculine', 'plural']"
déchus,
décidable,
décidables,['plural']
décidables,
décidu,
décidual,
déciduale,
déciduale,"['feminine', 'singular']"
déciduales,
déciduales,"['feminine', 'plural']"
déciduaux,"['masculine', 'plural']"
déciduaux,
décidue,"['feminine', 'singular']"
décidue,
décidues,
décidues,"['feminine', 'plural']"
décidus,"['masculine', 'plural']"
décidus,
décimal,
décimale,"['feminine', 'singular']"
décimale,
décimales,"['feminine', 'plural']"
décimales,
décimaux,"['masculine', 'plural']"
décimaux,
décimétrique,
décimétriques,['plural']
décimétriques,
décisif,
décisifs,
décisifs,"['masculine', 'plural']"
décisionnel,
décisionnelle,
décisionnelle,"['feminine', 'singular']"
décisionnelles,
décisionnelles,"['feminine', 'plural']"
décisionnels,"['masculine', 'plural']"
décisionnels,
décisive,
décisive,"['feminine', 'singular']"
décisives,
décisives,"['feminine', 'plural']"
déclamatoire,
déclamatoires,['plural']
déclamatoires,
déclarable,
déclarables,
déclarables,['plural']
déclaratif,
déclaratifs,
déclaratifs,"['masculine', 'plural']"
déclarative,
déclarative,"['feminine', 'singular']"
déclaratives,
déclaratives,"['feminine', 'plural']"
déclaratoire,
déclaratoires,['plural']
déclaratoires,
déclassifié,
déclassifiée,"['feminine', 'singular']"
déclassifiée,
déclassifiées,"['feminine', 'plural']"
déclassifiées,
déclassifiés,
déclassifiés,"['masculine', 'plural']"
déclassé,
déclassée,"['feminine', 'singular']"
déclassée,
déclassées,"['feminine', 'plural']"
déclassées,
déclassés,
déclassés,"['masculine', 'plural']"
déclinable,
déclinables,['plural']
déclinables,
déclinant,
déclinante,"['feminine', 'singular']"
déclinante,
déclinantes,
déclinantes,"['feminine', 'plural']"
déclinants,"['masculine', 'plural']"
déclinants,
déclinatoire,
déclinatoires,['plural']
décliné,
déclinée,"['feminine', 'singular']"
déclinée,
déclinées,
déclinées,"['feminine', 'plural']"
déclinés,"['masculine', 'plural']"
déclinés,
déclive,
déclives,['plural']
décoiffant,
décoiffante,"['feminine', 'singular']"
décoiffante,
décoiffantes,"['feminine', 'plural']"
décoiffantes,
décoiffants,"['masculine', 'plural']"
décoiffants,
décoiffé,
décoiffée,"['feminine', 'singular']"
décoiffée,
décoiffées,
décoiffées,"['feminine', 'plural']"
décoiffés,"['masculine', 'plural']"
décoiffés,
décolleté,
décolletée,"['feminine', 'singular']"
décolletées,"['feminine', 'plural']"
décolletés,"['masculine', 'plural']"
décolorant,
décolorante,
décolorante,"['feminine', 'singular']"
décolorantes,"['feminine', 'plural']"
décolorantes,
décolorants,"['masculine', 'plural']"
décolorants,
décoloré,
décolorée,"['feminine', 'singular']"
décolorée,
décolorées,"['feminine', 'plural']"
décolorées,
décolorés,
décolorés,"['masculine', 'plural']"
décomplexé,
décomplexée,
décomplexée,"['feminine', 'singular']"
décomplexées,"['feminine', 'plural']"
décomplexées,
décomplexés,"['masculine', 'plural']"
décomplexés,
décomposable,
décomposables,
décomposables,['plural']
décomposé,
décomposée,
décomposée,"['feminine', 'singular']"
décomposées,
décomposées,"['feminine', 'plural']"
décomposés,"['masculine', 'plural']"
décomposés,
déconcentré,
déconcentrée,
déconcentrée,"['feminine', 'singular']"
déconcentrées,
déconcentrées,"['feminine', 'plural']"
déconcentrés,
déconcentrés,"['masculine', 'plural']"
déconcertant,
déconcertante,"['feminine', 'singular']"
déconcertante,
déconcertantes,"['feminine', 'plural']"
déconcertantes,
déconcertants,
déconcertants,"['masculine', 'plural']"
déconfit,
déconfite,
déconfite,"['feminine', 'singular']"
déconfites,
déconfites,"['feminine', 'plural']"
déconfits,
déconfits,"['masculine', 'plural']"
décongelé,
décongelée,"['feminine', 'singular']"
décongelée,
décongelées,
décongelées,"['feminine', 'plural']"
décongelés,"['masculine', 'plural']"
décongelés,
déconseillé,
déconseillée,
déconseillée,"['feminine', 'singular']"
déconseillées,
déconseillées,"['feminine', 'plural']"
déconseillés,"['masculine', 'plural']"
déconseillés,
décontracté,
décontractée,"['feminine', 'singular']"
décontractées,"['feminine', 'plural']"
décontractés,"['masculine', 'plural']"
décoratif,
décoratifs,"['masculine', 'plural']"
décoratifs,
décorative,"['feminine', 'singular']"
décorative,
décoratives,"['feminine', 'plural']"
décoratives,
décortiqué,
décortiquée,"['feminine', 'singular']"
décortiquée,
décortiquées,
décortiquées,"['feminine', 'plural']"
décortiqués,"['masculine', 'plural']"
décortiqués,
décourageant,
décourageante,
décourageante,"['feminine', 'singular']"
décourageantes,"['feminine', 'plural']"
décourageantes,
décourageants,"['masculine', 'plural']"
décourageants,
décousu,
décousue,"['feminine', 'singular']"
décousue,
décousues,"['feminine', 'plural']"
décousues,
décousus,"['masculine', 'plural']"
décousus,
découvert,
découverte,"['feminine', 'singular']"
découvertes,"['feminine', 'plural']"
découverts,
découverts,"['masculine', 'plural']"
décrochable,
décrochables,
décrochables,['plural']
décroissant,
décroissante,"['feminine', 'singular']"
décroissante,
décroissantes,"['feminine', 'plural']"
décroissantes,
décroissants,"['masculine', 'plural']"
décroissants,
décroisé,
décroisée,
décroisée,"['feminine', 'singular']"
décroisées,
décroisées,"['feminine', 'plural']"
décroisés,
décroisés,"['masculine', 'plural']"
décrypté,
décryptée,
décryptée,"['feminine', 'singular']"
décryptées,"['feminine', 'plural']"
décryptées,
décryptés,
décryptés,"['masculine', 'plural']"
décrépit,
décrépite,
décrépite,"['feminine', 'singular']"
décrépites,
décrépites,"['feminine', 'plural']"
décrépits,
décrépits,"['masculine', 'plural']"
décuirassé,
décuirassée,"['feminine', 'singular']"
décuirassée,
décuirassées,"['feminine', 'plural']"
décuirassées,
décuirassés,"['masculine', 'plural']"
décuirassés,
décuple,
décuples,['plural']
décussé,
décussée,"['feminine', 'singular']"
décussée,
décussées,
décussées,"['feminine', 'plural']"
décussés,"['masculine', 'plural']"
décussés,
décélérateur,
décélérateurs,
décélérateurs,"['masculine', 'plural']"
décélératrice,"['feminine', 'singular']"
décélératrice,
décélératrices,
décélératrices,"['feminine', 'plural']"
dédaignable,
dédaignables,
dédaignables,['plural']
dédaigneuse,"['feminine', 'singular']"
dédaigneuse,
dédaigneuses,"['feminine', 'plural']"
dédaigneuses,
dédaigneux,"['masculine', 'plural']"
dédicacé,
dédicacée,"['feminine', 'singular']"
dédicacée,
dédicacées,
dédicacées,"['feminine', 'plural']"
dédicacés,
dédicacés,"['masculine', 'plural']"
dédicatoire,
dédicatoires,
dédicatoires,['plural']
dédopé,
dédopée,
dédopée,"['feminine', 'singular']"
dédopées,"['feminine', 'plural']"
dédopées,
dédopés,
dédopés,"['masculine', 'plural']"
déductible,
déductibles,['plural']
déductibles,
déductif,
déductifs,"['masculine', 'plural']"
déductifs,
déductive,
déductive,"['feminine', 'singular']"
déductives,"['feminine', 'plural']"
déductives,
déduit,
déduite,"['feminine', 'singular']"
déduite,
déduites,
déduites,"['feminine', 'plural']"
déduits,
déduits,"['masculine', 'plural']"
défaillant,
défaillante,"['feminine', 'singular']"
défaillante,
défaillantes,
défaillantes,"['feminine', 'plural']"
défaillants,
défaillants,"['masculine', 'plural']"
défaitiste,
défaitistes,['plural']
défavorable,
défavorables,
défavorables,['plural']
défavorisé,
défavorisée,"['feminine', 'singular']"
défavorisées,"['feminine', 'plural']"
défavorisés,"['masculine', 'plural']"
défectible,
défectibles,
défectibles,['plural']
défectif,
défectifs,"['masculine', 'plural']"
défectifs,
défective,"['feminine', 'singular']"
défective,
défectives,
défectives,"['feminine', 'plural']"
défectueuse,
défectueuse,"['feminine', 'singular']"
défectueuses,
défectueuses,"['feminine', 'plural']"
défectueux,"['masculine', 'plural']"
défendable,
défendables,['plural']
défendables,
défendu,
défendue,"['feminine', 'singular']"
défendues,"['feminine', 'plural']"
défendus,"['masculine', 'plural']"
défenestrable,
défenestrables,['plural']
défensif,
défensifs,"['masculine', 'plural']"
défensifs,
défensive,
défensive,"['feminine', 'singular']"
défensives,"['feminine', 'plural']"
défensives,
déferlant,
déferlante,"['feminine', 'singular']"
déferlante,
déferlantes,"['feminine', 'plural']"
déferlantes,
déferlants,"['masculine', 'plural']"
déferlants,
défeuillé,
défeuillée,
défeuillée,"['feminine', 'singular']"
défeuillées,"['feminine', 'plural']"
défeuillées,
défeuillés,"['masculine', 'plural']"
défeuillés,
défiant,
défiante,"['feminine', 'singular']"
défiante,
défiantes,
défiantes,"['feminine', 'plural']"
défiants,
défiants,"['masculine', 'plural']"
déficient,
déficiente,"['feminine', 'singular']"
déficiente,
déficientes,"['feminine', 'plural']"
déficientes,
déficients,"['masculine', 'plural']"
déficients,
déficitaire,
déficitaires,['plural']
déficitaires,
défilable,
défilables,['plural']
défilables,
défini,
définie,"['feminine', 'singular']"
définies,"['feminine', 'plural']"
définis,"['masculine', 'plural']"
définissable,
définissables,['plural']
définissables,
définitif,
définitifs,
définitifs,"['masculine', 'plural']"
définitionnel,
définitionnelle,"['feminine', 'singular']"
définitionnelle,
définitionnelles,"['feminine', 'plural']"
définitionnelles,
définitionnels,
définitionnels,"['masculine', 'plural']"
définitive,
définitive,"['feminine', 'singular']"
définitives,
définitives,"['feminine', 'plural']"
définitoire,
définitoires,['plural']
définitoires,
déflagrant,
déflagrante,"['feminine', 'singular']"
déflagrante,
déflagrantes,
déflagrantes,"['feminine', 'plural']"
déflagrants,"['masculine', 'plural']"
déflagrants,
déflationniste,
déflationnistes,['plural']
déflationnistes,
déflorant,
déflorante,
déflorante,"['feminine', 'singular']"
déflorantes,"['feminine', 'plural']"
déflorantes,
déflorants,
déflorants,"['masculine', 'plural']"
défoncé,
défoncée,"['feminine', 'singular']"
défoncées,"['feminine', 'plural']"
défoncés,"['masculine', 'plural']"
déformable,
déformables,['plural']
déformables,
déformant,
déformante,
déformante,"['feminine', 'singular']"
déformantes,
déformantes,"['feminine', 'plural']"
déformants,
déformants,"['masculine', 'plural']"
déformé,
déformée,"['feminine', 'singular']"
déformée,
déformées,
déformées,"['feminine', 'plural']"
déformés,"['masculine', 'plural']"
déformés,
défraîchi,
défraîchie,
défraîchie,"['feminine', 'singular']"
défraîchies,
défraîchies,"['feminine', 'plural']"
défraîchis,
défraîchis,"['masculine', 'plural']"
défroqué,
défroquée,"['feminine', 'singular']"
défroquée,
défroquées,
défroquées,"['feminine', 'plural']"
défroqués,"['masculine', 'plural']"
défroqués,
défunt,
défunte,"['feminine', 'singular']"
défunte,
défuntes,
défuntes,"['feminine', 'plural']"
défunts,"['masculine', 'plural']"
défunts,
déférent,
déférente,"['feminine', 'singular']"
déférente,
déférentes,"['feminine', 'plural']"
déférentes,
déférentiel,
déférentielle,"['feminine', 'singular']"
déférentielle,
déférentielles,"['feminine', 'plural']"
déférentielles,
déférentiels,"['masculine', 'plural']"
déférentiels,
déférents,
déférents,"['masculine', 'plural']"
dég,
dégagé,
dégagée,"['feminine', 'singular']"
dégagées,"['feminine', 'plural']"
dégagés,"['masculine', 'plural']"
dégarni,
dégarnie,"['feminine', 'singular']"
dégarnies,"['feminine', 'plural']"
dégarnis,"['masculine', 'plural']"
dégeu,
dégeue,"['feminine', 'singular']"
dégeue,
dégeues,
dégeues,"['feminine', 'plural']"
dégeus,"['masculine', 'plural']"
dégeus,
dégingandé,
dégingandée,
dégingandée,"['feminine', 'singular']"
dégingandées,"['feminine', 'plural']"
dégingandées,
dégingandés,"['masculine', 'plural']"
dégingandés,
dégivrable,
dégivrables,['plural']
dégivrables,
déglingué,
déglinguée,"['feminine', 'singular']"
déglinguées,"['feminine', 'plural']"
déglingués,"['masculine', 'plural']"
dégoulinant,
dégoulinante,"['feminine', 'singular']"
dégoulinante,
dégoulinantes,"['feminine', 'plural']"
dégoulinantes,
dégoulinants,"['masculine', 'plural']"
dégoulinants,
dégoutant,
dégoutante,
dégoutante,"['feminine', 'singular']"
dégoutantes,"['feminine', 'plural']"
dégoutantes,
dégoutants,"['masculine', 'plural']"
dégoutants,
dégoûtant,
dégoûtante,"['feminine', 'singular']"
dégoûtante,
dégoûtantes,
dégoûtantes,"['feminine', 'plural']"
dégoûtants,
dégoûtants,"['masculine', 'plural']"
dégradable,
dégradables,['plural']
dégradables,
dégradant,
dégradante,
dégradante,"['feminine', 'singular']"
dégradantes,"['feminine', 'plural']"
dégradantes,
dégradants,"['masculine', 'plural']"
dégradants,
dégressif,
dégressifs,
dégressifs,"['masculine', 'plural']"
dégressive,
dégressive,"['feminine', 'singular']"
dégressives,"['feminine', 'plural']"
dégressives,
dégs,['plural']
déguenillé,
déguenillée,"['feminine', 'singular']"
déguenillée,
déguenillées,
déguenillées,"['feminine', 'plural']"
déguenillés,"['masculine', 'plural']"
déguenillés,
dégueu,
dégueue,"['feminine', 'singular']"
dégueue,
dégueues,"['feminine', 'plural']"
dégueues,
dégueulasse,
dégueulasses,
dégueulasses,['plural']
dégueus,"['masculine', 'plural']"
dégueus,
dégénératif,
dégénératifs,"['masculine', 'plural']"
dégénératifs,
dégénérative,"['feminine', 'singular']"
dégénérative,
dégénératives,"['feminine', 'plural']"
dégénératives,
dégénérescent,
dégénérescente,"['feminine', 'singular']"
dégénérescente,
dégénérescentes,"['feminine', 'plural']"
dégénérescentes,
dégénérescents,"['masculine', 'plural']"
dégénérescents,
dégénéré,
dégénérée,"['feminine', 'singular']"
dégénérée,
dégénérées,
dégénérées,"['feminine', 'plural']"
dégénérés,"['masculine', 'plural']"
dégénérés,
déhanché,
déhanchée,"['feminine', 'singular']"
déhanchées,"['feminine', 'plural']"
déhanchés,"['masculine', 'plural']"
déhydratant,
déhydratante,"['feminine', 'singular']"
déhydratante,
déhydratantes,"['feminine', 'plural']"
déhydratantes,
déhydratants,"['masculine', 'plural']"
déhydratants,
déicide,
déicides,
déicides,['plural']
déictique,
déictiques,['plural']
déifique,
déifiques,['plural']
déifiques,
déiste,
déistes,['plural']
déjanté,
déjantée,"['feminine', 'singular']"
déjantée,
